日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-09 23:12:55,一宮愛,,カーブ,外角低め,0,右,ボール, , ,なし
2025-08-09 23:13:14,一宮愛,,ストレート,外角真ん中,1B ,右,6ゴロ, , ,ショート
2025-08-09 23:13:28,一宮愛,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-09 23:13:45,一宮愛,,スライダー,外角真ん中,1S ,左,7フライ, , ,レフト
2025-08-09 23:15:41,一宮愛,,ストレート,外角低め,0,右,ストライク, , ,なし
2025-08-09 23:15:50,一宮愛,,カーブ,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-09 23:16:04,一宮愛,,カーブ,外角真ん中,2S ,右,ボール, , ,なし
2025-08-09 23:16:23,一宮愛,,カーブ,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-09 23:16:38,一宮愛,,カーブ,外角真ん中,2B2S ,右,ボール, , ,なし
2025-08-09 23:16:47,一宮愛,,ストレート,外角低め,3B2S ,右,見三振, , ,なし
2025-08-09 23:17:03,一宮愛,,ストレート,外角低め,0,左,ストライク, , ,なし
2025-08-09 23:17:16,一宮愛,,カーブ,内角低め,1S ,左,死球, , ,なし
2025-08-09 23:17:40,一宮愛,,ストレート,真ん中低め,0,右,ボール, , ,なし
2025-08-09 23:18:02,一宮愛,,スライダー,内角低め,0,右,ストライク, , ,なし
2025-08-09 23:18:13,一宮愛,,カーブ,真ん中低め,1B1S,右,ボール, , ,なし
2025-08-09 23:18:32,一宮愛,,ストレート,内角真ん中,2B1S ,右,ストライク, , ,なし
2025-08-09 23:18:53,一宮愛,,ストレート,外角低め,2B2S ,右,ファール, , ,なし
2025-08-09 23:19:18,一宮愛,,スライダー,真ん中低め,2B2S ,右,ボール, , ,なし
2025-08-09 23:19:34,一宮愛,,ストレート,外角真ん中,3B2S ,右,5ゴロ, , ,サード
2025-08-09 23:19:44,一宮愛,,ストレート,真ん中高め,0,右,ストライク, , ,なし
2025-08-09 23:20:03,一宮愛,,ストレート,外角真ん中,1S ,右,9フライ, , ,ライト
2025-08-09 23:20:22,一宮愛,,カーブ,外角低め,0,左,ストライク, , ,なし
2025-08-09 23:20:33,一宮愛,,カーブ,内角高め,1S ,左,ファール, , ,なし
2025-08-09 23:20:52,一宮愛,,ストレート,外角真ん中,2S ,左,7フライ, , ,レフト
2025-08-09 23:21:12,一宮愛,,ストレート,真ん中高め,0,右,3フライ, , ,ファースト
2025-08-09 23:21:28,一宮愛,,ストレート,内角高め,0,左,ボール, , ,なし
