日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-03 23:30:45,上舘美乃,,スライダー,真ん中,0,右,ストライク, , ,なし
2025-08-03 23:31:08,上舘美乃,,スライダー,真ん中,1S ,右,8フライ, , ,センター
2025-08-03 23:31:22,上舘美乃,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-03 23:31:38,上舘美乃,,スライダー,外角真ん中,1S ,右,9フライ, , ,なし
2025-08-03 23:31:54,上舘美乃,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-03 23:32:09,上舘美乃,,ストレート,外角低め,1S ,右,ストライク, , ,なし
2025-08-03 23:32:36,上舘美乃,,ストレート,真ん中低め,2S ,右,4ゴロ, , ,セカンド
2025-08-04 19:39:29,上舘美乃,,ストレート,内角真ん中,0 ,右,72B , , ,レフト
2025-08-04 19:39:57,上舘美乃,,カーブ,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 19:40:10,上舘美乃,,カーブ,外角高め,1S ,左,ボール, , ,なし
2025-08-04 19:40:23,上舘美乃,,ストレート,真ん中高め,1B1S,左,ボール, , ,なし
2025-08-04 19:40:46,上舘美乃,,スライダー,真ん中低め,2B1S ,左,ボール, , ,なし
2025-08-04 19:41:15,上舘美乃,,ストレート,外角低め,3B1S ,左,1ゴロ, , ,なし
2025-08-04 19:41:47,上舘美乃,,ストレート,外角高め,0 ,左,ボール, , ,なし
2025-08-04 19:42:03,上舘美乃,,ストレート,外角真ん中,1B ,左,ボール, , ,なし
2025-08-04 19:42:16,上舘美乃,,スライダー,内角高め,1B1S,左,ボール, , ,なし
2025-08-04 19:42:31,上舘美乃,,スライダー,内角低め,2B1S ,左,ファール, , ,なし
2025-08-04 19:42:48,上舘美乃,,スライダー,真ん中,2B2S ,左,ファール, , ,なし
2025-08-04 19:43:09,上舘美乃,,ストレート,内角高め,2B2S ,左,ファール, , ,なし
2025-08-04 19:43:24,上舘美乃,,スライダー,真ん中,2B2S ,左,ファール, , ,なし
2025-08-04 19:43:48,上舘美乃,,ストレート,外角高め,2B2S ,左,ファール, , ,なし
2025-08-04 19:44:11,上舘美乃,,ストレート,外角高め,2B2S ,左,ボール, , ,なし
2025-08-04 19:44:43,上舘美乃,,スライダー,外角真ん中,3B2S ,左,四球, , ,なし
2025-08-04 19:45:15,上舘美乃,,ストレート,外角高め,0 ,右,ストライク, , ,なし
2025-08-04 19:45:33,上舘美乃,,ストレート,外角低め,1S ,右,ボール, , ,なし
2025-08-04 19:45:52,上舘美乃,,カーブ,外角低め,1B1S,右,ボール, , ,なし
2025-08-04 19:46:15,上舘美乃,,スライダー,真ん中,2B1S ,右,ファール, , ,なし
2025-08-04 19:46:34,上舘美乃,,ストレート,外角真ん中,2B2S ,右,ファール, , ,なし
2025-08-04 19:47:02,上舘美乃,,チェンジアップ,内角真ん中,2B2S ,右,5ゴロ, , ,サード
2025-08-04 19:55:04,上舘美乃,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-04 19:55:27,上舘美乃,,ストレート,真ん中高め,1S ,右,ボール, , ,なし
2025-08-04 19:55:42,上舘美乃,,ストレート,真ん中低め,1B1S,右,スイング, , ,なし
2025-08-04 19:56:05,上舘美乃,,スライダー,真ん中,1B2S ,右,見三振, , ,なし
2025-08-04 19:56:31,上舘美乃,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-04 19:56:45,上舘美乃,,カーブ,真ん中低め,1B ,右,ボール, , ,なし
2025-08-04 19:57:00,上舘美乃,,ストレート,外角高め,2B ,右,ボール, , ,なし
2025-08-04 19:57:13,上舘美乃,,ストレート,真ん中低め,3B ,右,四球, , ,なし
2025-08-04 19:57:45,上舘美乃,,カーブ,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-04 19:58:10,上舘美乃,,カーブ,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-04 19:58:25,上舘美乃,,ストレート,外角真ん中,1B1S,右,ファール, , ,なし
2025-08-04 19:58:53,上舘美乃,,スライダー,真ん中高め,1B2S ,右,ボール, , ,なし
2025-08-04 19:59:17,上舘美乃,,ストレート,外角真ん中,2B2S ,右,見三振, , ,なし
2025-08-04 19:59:56,上舘美乃,,スライダー,内角低め,0 ,左,ボール, , ,なし
2025-08-04 20:00:13,上舘美乃,,ストレート,真ん中,1B ,左,7フライ, , ,レフト
2025-08-04 20:08:04,上舘美乃,,スライダー,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-04 20:08:14,上舘美乃,,ストレート,真ん中高め,1S ,右,ストライク, , ,なし
2025-08-04 20:08:28,上舘美乃,,スライダー,外角高め,1B1S,右,ボール, , ,なし
2025-08-04 20:10:27,上舘美乃,,ストレート,真ん中低め,2B1S ,右,6フライ, , ,ショート
2025-08-04 20:11:16,上舘美乃,,スライダー,外角高め,0 ,右,ボール, , ,なし
2025-08-04 20:11:26,上舘美乃,,スライダー,外角低め,1B ,右,ストライク, , ,なし
2025-08-04 20:11:39,上舘美乃,,カーブ,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-04 20:11:56,上舘美乃,,スライダー,外角低め,1B2S ,右,空三振, , ,なし
2025-08-04 20:12:44,上舘美乃,,カーブ,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 20:12:58,上舘美乃,,ストレート,外角低め,1S ,左,ストライク, , ,なし
2025-08-04 20:13:34,上舘美乃,,ストレート,真ん中,2S ,左,3ゴロ, , ,ファースト
2025-08-04 20:13:52,上舘美乃,,スライダー,外角高め,0 ,左,ボール, , ,なし
2025-08-04 20:14:07,上舘美乃,,スライダー,外角真ん中,1B ,左,ストライク, , ,なし
2025-08-04 20:14:44,上舘美乃,,ストレート,内角真ん中,1B1S,左,7ヒット, , ,レフト
2025-08-04 20:15:08,上舘美乃,,ストレート,外角高め,0 ,右,ボール, , ,なし
2025-08-04 20:29:59,上舘美乃,,スライダー,真ん中高め,0 ,右,ストライク, , ,なし
2025-08-04 20:30:18,上舘美乃,,ストレート,真ん中,1S ,右,7フライ, , ,レフト
2025-08-04 20:30:42,上舘美乃,,カーブ,外角低め,0 ,右,ボール, , ,なし
2025-08-04 20:30:53,上舘美乃,,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-04 20:31:12,上舘美乃,,スライダー,外角低め,1B1S,右,ボール, , ,なし
2025-08-04 20:31:32,上舘美乃,,ストレート,外角真ん中,2B1S ,右,ストライク, , ,なし
2025-08-04 20:31:52,上舘美乃,,チェンジアップ,内角低め,2B2S ,右,ファール, , ,なし
2025-08-04 20:32:08,上舘美乃,,ストレート,外角真ん中,2B2S ,右,ファール, , ,なし
2025-08-04 20:32:33,上舘美乃,,スライダー,外角低め,2B2S ,右,空三振, , ,なし
2025-08-04 20:32:53,上舘美乃,,スライダー,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-04 20:33:08,上舘美乃,,ストレート,外角真ん中,1S ,右,ファール, , ,なし
2025-08-04 20:33:29,上舘美乃,,ストレート,内角高め,2S ,右,ボール, , ,なし
2025-08-04 20:34:08,上舘美乃,,ストレート,真ん中,0 ,右,83B , , ,センター
2025-08-04 20:34:35,上舘美乃,,スライダー,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 20:34:52,上舘美乃,,スライダー,内角低め,1S ,左,ボール, , ,なし
2025-08-04 20:35:14,上舘美乃,,ストレート,内角真ん中,1B1S,左,ボール, , ,なし
2025-08-04 20:35:37,上舘美乃,,ストレート,外角低め,2B1S ,左,ファール, , ,なし
2025-08-04 20:36:00,上舘美乃,,スライダー,真ん中,2B2S ,左,4フライ, , ,セカンド
2025-08-04 20:40:45,上舘美乃,,ストレート,内角真ん中,0 ,右,7フライ, , ,レフト
2025-08-04 20:41:16,上舘美乃,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-04 20:41:30,上舘美乃,,スライダー,内角高め,1S ,右,ボール, , ,なし
2025-08-04 20:41:43,上舘美乃,,ストレート,外角低め,1B1S,右,ボール, , ,なし
2025-08-04 20:41:57,上舘美乃,,スライダー,真ん中低め,2B1S ,右,ファール, , ,なし
2025-08-04 20:42:29,上舘美乃,,ストレート,真ん中低め,2B2S ,右,7フライ, , ,レフト
2025-08-04 20:42:48,上舘美乃,,ストレート,真ん中低め,0 ,左,ボール, , ,なし
2025-08-04 20:42:58,上舘美乃,,カーブ,外角真ん中,1B ,左,ストライク, , ,なし
2025-08-04 20:43:18,上舘美乃,,カーブ,真ん中,1B1S,左,3ゴロ, , ,ファースト
2025-08-04 20:47:55,上舘美乃,,,,,,ストライク, , ,なし
2025-08-04 20:48:28,上舘美乃,,スライダー,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 20:48:44,上舘美乃,,スライダー,内角低め,1S ,左,ボール, , ,なし
2025-08-04 20:48:55,上舘美乃,,ストレート,外角高め,1B1S,左,ボール, , ,なし
2025-08-04 20:49:09,上舘美乃,,カーブ,内角真ん中,2B1S ,左,ストライク, , ,なし
2025-08-04 20:49:24,上舘美乃,,ストレート,真ん中低め,2B2S ,左,ファール, , ,なし
2025-08-04 20:49:52,上舘美乃,,スライダー,内角真ん中,2B2S ,左,空三振, , ,なし
2025-08-04 20:50:09,上舘美乃,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-04 20:50:23,上舘美乃,,スライダー,外角高め,1B ,右,ボール, , ,なし
2025-08-04 20:50:34,上舘美乃,,ストレート,真ん中,2B ,右,ストライク, , ,なし
2025-08-04 20:50:52,上舘美乃,,ストレート,真ん中高め,2B1S ,右,6フライ, , ,ショート
2025-08-04 20:51:15,上舘美乃,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-04 20:51:27,上舘美乃,,スライダー,真ん中,1B ,右,ストライク, , ,なし
2025-08-04 20:51:41,上舘美乃,,カーブ,外角低め,1B1S,右,ストライク, , ,なし
2025-08-04 20:52:01,上舘美乃,,ストレート,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-04 20:52:26,上舘美乃,,スライダー,外角真ん中,2B2S ,右,6ゴロ, , ,ショート
2025-08-04 20:52:52,上舘美乃,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-04 20:53:05,上舘美乃,,ストレート,内角高め,1B ,右,ボール, , ,なし
2025-08-04 20:53:26,上舘美乃,,ストレート,真ん中低め,2B ,右,ストライク, , ,なし
2025-08-04 20:53:50,上舘美乃,,カーブ,内角真ん中,2B1S ,右,ボール, , ,なし
2025-08-04 20:54:13,上舘美乃,,ストレート,真ん中,3B1S ,右,5ゴロ, , ,サード
2025-08-04 20:54:36,上舘美乃,,ストレート,内角高め,0 ,右,ボール, , ,なし
2025-08-04 20:54:46,上舘美乃,,スライダー,外角低め,1B ,右,ボール, , ,なし
2025-08-04 20:55:03,上舘美乃,,ストレート,真ん中,2B ,右,ストライク, , ,なし
2025-08-04 20:55:15,上舘美乃,,ストレート,真ん中低め,2B1S ,右,ストライク, , ,なし
2025-08-04 20:55:38,上舘美乃,,スライダー,内角高め,2B2S ,右,7フライ, , ,レフト
2025-08-04 20:56:02,上舘美乃,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-04 20:56:21,上舘美乃,,スライダー,真ん中,1B ,右,4フライ, , ,セカンド
2025-08-04 20:56:53,上舘美乃,,カーブ,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-04 20:57:06,上舘美乃,,スライダー,真ん中低め,1S ,右,ボール, , ,なし
2025-08-04 20:57:20,上舘美乃,,ストレート,真ん中,1B1S,右,ストライク, , ,なし
2025-08-04 20:57:34,上舘美乃,,スライダー,外角低め,1B2S ,右,ファール, , ,なし
2025-08-04 20:57:52,上舘美乃,,ストレート,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-04 20:58:11,上舘美乃,,スライダー,外角低め,2B2S ,右,5ゴロ, , ,サード
2025-08-04 20:58:43,上舘美乃,,ストレート,真ん中高め,0 ,右,3フライ, , ,ファースト
2025-08-04 20:59:06,上舘美乃,,スライダー,真ん中低め,0 ,左,ファール, , ,なし
2025-08-04 20:59:30,上舘美乃,,ストレート,内角低め,1S ,左,4ヒット, , ,セカンド
2025-08-04 21:00:03,上舘美乃,,スライダー,真ん中高め,0 ,右,ストライク, , ,なし
2025-08-04 21:00:24,上舘美乃,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-04 21:00:47,上舘美乃,,ストレート,内角低め,1B1S,右,ファール, , ,なし
2025-08-04 21:01:16,上舘美乃,,ストレート,真ん中,1B2S ,右,ファール, , ,なし
2025-08-04 21:01:38,上舘美乃,,スライダー,外角高め,1B2S ,右,ボール, , ,なし
2025-08-04 21:01:57,上舘美乃,,ストレート,真ん中低め,2B2S ,右,空三振, , ,なし
2025-08-04 21:07:25,上舘美乃,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-04 21:07:38,上舘美乃,,スライダー,真ん中,1B ,右,ストライク, , ,なし
2025-08-04 21:08:08,上舘美乃,,ストレート,真ん中低め,1B1S,右,9ヒット, , ,ライト
2025-08-04 21:08:37,上舘美乃,,カーブ,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 21:08:55,上舘美乃,,スライダー,内角真ん中,1S ,左,ストライク, , ,なし
2025-08-04 21:09:18,上舘美乃,,ストレート,外角真ん中,2S ,左,ファール, , ,なし
2025-08-04 21:09:33,上舘美乃,,スライダー,内角低め,2S ,左,空三振, , ,なし
2025-08-04 21:09:57,上舘美乃,,カーブ,外角高め,0 ,左,ボール, , ,なし
2025-08-04 21:10:08,上舘美乃,,スライダー,外角真ん中,1B ,左,ストライク, , ,なし
2025-08-04 21:10:25,上舘美乃,,スライダー,内角低め,1B1S,左,ファール, , ,なし
2025-08-04 21:10:56,上舘美乃,,チェンジアップ,外角低め,1B2S ,左,6ゴロ, , ,ショート
2025-08-04 21:11:12,上舘美乃,,カーブ,内角真ん中,0 ,右,ボール, , ,なし
2025-08-04 21:11:23,上舘美乃,,ストレート,真ん中,1B ,右,ストライク, , ,なし
2025-08-04 21:11:40,上舘美乃,,スライダー,真ん中,1B1S,右,ファール, , ,なし
2025-08-04 21:12:01,上舘美乃,,ストレート,外角低め,1B2S ,右,ボール, , ,なし
2025-08-04 21:12:18,上舘美乃,,スライダー,外角低め,2B2S ,右,ファール, , ,なし
2025-08-04 21:12:37,上舘美乃,,スライダー,外角低め,2B2S ,右,ファール, , ,なし
2025-08-04 21:12:59,上舘美乃,,ストレート,内角高め,2B2S ,右,ボール, , ,なし
2025-08-04 21:13:17,上舘美乃,,スライダー,真ん中低め,3B2S ,右,ファール, , ,なし
2025-08-04 21:13:38,上舘美乃,,スライダー,外角低め,3B2S ,右,見三振, , ,なし
