日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-04 19:36:06,中谷麗,,ストレート,外角高め,0,右,ボール, , ,なし
2025-08-04 19:36:29,中谷麗,,ストレート,外角真ん中,1B ,右,ファール, , ,なし
2025-08-04 19:36:51,中谷麗,,スライダー,外角真ん中,1B1S,右,7フライ, , ,レフト
2025-08-04 19:37:15,中谷麗,,カーブ,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-04 19:37:28,中谷麗,,カーブ,真ん中低め,1S ,左,ファール, , ,なし
2025-08-04 19:37:48,中谷麗,,スライダー,外角真ん中,2S ,左,ボール, , ,なし
2025-08-04 19:38:01,中谷麗,,カーブ,真ん中,1B2S ,左,空三振, , ,なし
2025-08-04 19:38:32,中谷麗,,ストレート,真ん中,0 ,右,8フライ, , ,センター
2025-08-04 19:47:49,中谷麗,,ストレート,真ん中低め,0 ,右,ストライク, , ,なし
2025-08-04 19:48:07,中谷麗,,スライダー,真ん中,1S ,右,8ヒット, , ,センター
2025-08-04 19:49:01,中谷麗,,ストレート,外角低め,0 ,左,ボール, , ,なし
2025-08-04 19:49:25,中谷麗,,ストレート,真ん中,1B ,左,1バント, , ,なし
2025-08-04 19:50:01,中谷麗,,カーブ,外角低め,0 ,左,ボール, , ,なし
2025-08-04 19:50:24,中谷麗,,ストレート,外角低め,1B ,左,ボール, , ,なし
2025-08-04 19:50:46,中谷麗,,カーブ,内角高め,2B ,左,スイング, , ,なし
2025-08-04 19:51:14,中谷麗,,ストレート,外角低め,2B1S ,左,ボール, , ,なし
2025-08-04 19:51:30,中谷麗,,ストレート,外角低め,3B1S ,左,四球, , ,なし
2025-08-04 19:51:56,中谷麗,,カーブ,真ん中高め,0 ,左,ボール, , ,なし
2025-08-04 19:52:07,中谷麗,,スライダー,外角低め,1B ,左,ストライク, , ,なし
2025-08-04 19:52:45,中谷麗,,スライダー,真ん中低め,2B ,左,ボール, , ,なし
2025-08-04 19:53:29,中谷麗,,ストレート,外角高め,3B ,左,四球, , ,なし
2025-08-04 19:53:53,中谷麗,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-04 19:54:06,中谷麗,,ストレート,真ん中,1B ,右,ファール, , ,なし
