日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-03 23:17:47,串有菜,,カーブ,内角低め,0,右,ボール, , ,なし
2025-08-03 23:18:07,串有菜,,スライダー,外角低め,1B ,右,5ゴロ, , ,サード
2025-08-03 23:18:23,串有菜,,ストレート,真ん中低め,0 ,右,ストライク, , ,なし
2025-08-03 23:18:31,串有菜,,カーブ,真ん中,1S ,右,ストライク, , ,なし
2025-08-03 23:18:45,串有菜,,ストレート,外角低め,2S ,右,ボール, , ,なし
2025-08-03 23:19:00,串有菜,,スライダー,内角低め,1B2S ,右,見三振, , ,なし
2025-08-03 23:19:36,串有菜,,ストレート,真ん中,0 ,右,7ヒット, , ,左中間
2025-08-03 23:20:00,串有菜,,スライダー,外角低め,0 ,右,ストライク, , ,なし
2025-08-03 23:20:18,串有菜,,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-03 23:20:50,串有菜,,ストレート,外角真ん中,1B1S,右,7ヒット, , ,レフト
2025-08-03 23:21:28,串有菜,,カーブ,外角低め,0 ,右,ボール, , ,なし
2025-08-03 23:21:46,串有菜,,ストレート,内角低め,1B ,右,ボール, , ,なし
2025-08-03 23:22:01,串有菜,,ストレート,真ん中,2B ,右,ファール, , ,なし
2025-08-03 23:22:31,串有菜,,スライダー,真ん中,2B1S ,右,ファール, , ,なし
2025-08-03 23:23:07,串有菜,,ストレート,外角低め,2B2S ,右,見三振, , ,なし
