日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-17 19:09:32,千見寺真央,,ストレート,外角低め,0,左,ボール, , ,なし
2025-08-17 19:09:49,千見寺真央,,ストレート,外角低め,1B ,左,6ゴロ, , ,ショート
2025-08-17 19:10:03,千見寺真央,,ストレート,真ん中高め,0,右,ファール, , ,なし
2025-08-17 19:10:16,千見寺真央,,カーブ,真ん中低め,1S ,右,ストライク, , ,なし
2025-08-17 19:10:29,千見寺真央,,スライダー,真ん中高め,2S ,右,ボール, , ,なし
2025-08-17 19:10:46,千見寺真央,,カーブ,真ん中低め,1B2S ,右,1ゴロ, , ,なし
2025-08-17 19:10:56,千見寺真央,,カーブ,真ん中,,右,ストライク, , ,なし
2025-08-17 19:11:08,千見寺真央,,ストレート,外角真ん中,1S ,右,ファール, , ,なし
2025-08-17 19:11:19,千見寺真央,,ストレート,真ん中高め,2S ,右,ボール, , ,なし
2025-08-17 19:11:34,千見寺真央,,カーブ,外角低め,1B2S ,右,空三振, , ,なし
2025-08-19 16:23:50,千見寺真央,,カーブ,真ん中,0,左,ストライク, , ,なし
2025-08-19 16:23:57,千見寺真央,,ストレート,外角真ん中,1S ,左,ボール, , ,なし
2025-08-19 16:24:07,千見寺真央,,カーブ,真ん中,1B1S,左,6ゴロ, , ,ショート
2025-08-19 16:24:18,千見寺真央,,カーブ,外角真ん中,0,右,ストライク, , ,なし
2025-08-19 16:24:24,千見寺真央,,ストレート,内角真ん中,1S ,右,ボール, , ,なし
2025-08-19 16:24:29,千見寺真央,,カーブ,外角高め,1B1S,右,ボール, , ,なし
2025-08-19 16:24:38,千見寺真央,,ストレート,真ん中,2B1S ,右,8フライ, , ,センター
2025-08-19 16:24:47,千見寺真央,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-19 16:25:00,千見寺真央,,ストレート,外角低め,1B ,左,ボール, , ,なし
2025-08-19 16:25:06,千見寺真央,,ストレート,内角真ん中,2B ,左,ファール, , ,なし
2025-08-19 16:25:21,千見寺真央,,ストレート,真ん中,2B1S ,左,82B , , ,センター
2025-08-19 16:25:33,千見寺真央,,ストレート,真ん中低め,0,右,ボール, , ,なし
2025-08-19 16:25:38,千見寺真央,,カーブ,真ん中,1B ,右,ストライク, , ,なし
2025-08-19 16:25:44,千見寺真央,,ストレート,内角真ん中,1B1S,右,ファール, , ,なし
2025-08-19 16:25:51,千見寺真央,,カーブ,内角真ん中,1B2S ,右,ファール, , ,なし
2025-08-19 16:26:12,千見寺真央,,ストレート,外角高め,0,右,6ゴロ, , ,ショート
2025-08-19 16:26:17,千見寺真央,,スライダー,外角真ん中,0,左,ストライク, , ,なし
2025-08-19 16:26:31,千見寺真央,,ストレート,内角高め,1S ,左,ボール, , ,なし
2025-08-19 16:27:31,千見寺真央,,ストレート,外角低め,1B1S,左,ボール, , ,なし
2025-08-20 21:42:24,千見寺真央,,ストレート,真ん中,0,右,ファール, , ,なし
2025-08-20 21:42:31,千見寺真央,,カーブ,真ん中低め,1S ,右,ボール, , ,なし
2025-08-20 21:42:38,千見寺真央,,ストレート,真ん中,1B1S,右,ファール, , ,なし
2025-08-20 21:42:53,千見寺真央,,カーブ,真ん中,1B2S ,右,8ヒット, , ,センター
2025-08-20 21:42:59,千見寺真央,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-20 21:43:08,千見寺真央,,スライダー,外角真ん中,1B ,右,スイング, , ,なし
2025-08-20 21:43:17,千見寺真央,,カーブ,真ん中,1B1S,右,ファール, , ,なし
2025-08-20 21:43:24,千見寺真央,,スライダー,外角真ん中,1B2S ,右,見三振, , ,なし
2025-08-20 21:43:31,千見寺真央,,カーブ,真ん中低め,0,右,ボール, , ,なし
2025-08-20 21:43:39,千見寺真央,,カーブ,真ん中低め,1B ,右,6ゴロ, , ,ショート
2025-08-20 22:43:01,千見寺真央,,ストレート,外角真ん中,0,右,ボール, , ,なし
2025-08-20 22:43:07,千見寺真央,,ストレート,真ん中高め,1B ,右,ボール, , ,なし
2025-08-20 22:43:12,千見寺真央,,スライダー,真ん中低め,2B ,右,ボール, , ,なし
2025-08-20 22:43:17,千見寺真央,,ストレート,真ん中,3B ,右,ストライク, , ,なし
2025-08-20 22:43:27,千見寺真央,,ストレート,内角低め,3B1S ,右,ファール, , ,なし
2025-08-20 22:43:33,千見寺真央,,ストレート,内角真ん中,3B2S ,右,ファール, , ,なし
2025-08-20 22:43:39,千見寺真央,,ストレート,内角真ん中,3B2S ,右,ファール, , ,なし
2025-08-20 22:43:47,千見寺真央,,ストレート,真ん中,3B2S ,右,ファール, , ,なし
2025-08-20 22:43:52,千見寺真央,,ストレート,外角真ん中,3B2S ,右,ファール, , ,なし
2025-08-20 22:44:00,千見寺真央,,カーブ,真ん中,3B2S ,右,6E , , ,ショート
2025-08-20 22:44:11,千見寺真央,,ストレート,外角真ん中,0,右,ストライク, , ,なし
2025-08-20 22:44:15,千見寺真央,,ストレート,真ん中,1S ,右,ストライク, , ,なし
2025-08-20 22:44:21,千見寺真央,,ストレート,内角低め,2S ,右,ボール, , ,なし
2025-08-20 22:44:27,千見寺真央,,ストレート,真ん中高め,1B2S ,右,ボール, , ,なし
2025-08-20 22:44:36,千見寺真央,,ストレート,内角真ん中,"1B ,2B2S ",右,5ヒット, , ,サード
2025-08-20 22:44:46,千見寺真央,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-20 22:44:54,千見寺真央,,カーブ,内角真ん中,1B ,左,ストライク, , ,なし
2025-08-20 22:44:59,千見寺真央,,カーブ,真ん中高め,1B1S,左,ボール, , ,なし
2025-08-20 22:45:07,千見寺真央,,ストレート,真ん中高め,2B1S ,左,スイング, , ,なし
2025-08-20 22:45:17,千見寺真央,,スライダー,外角低め,2B2S ,左,空三振, , ,なし
2025-08-20 22:45:24,千見寺真央,,ストレート,外角低め,0,左,ストライク, , ,なし
2025-08-20 22:45:30,千見寺真央,,カーブ,真ん中低め,1S ,左,ファール, , ,なし
2025-08-20 22:45:35,千見寺真央,,ストレート,外角真ん中,2S ,左,見三振, , ,なし
2025-08-20 22:45:45,千見寺真央,,カーブ,真ん中低め,0,右,ボール, , ,なし
2025-08-20 22:45:49,千見寺真央,,ストレート,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-20 22:45:53,千見寺真央,,カーブ,真ん中,1B1S,右,ストライク, , ,なし
2025-08-20 22:46:01,千見寺真央,,ストレート,内角高め,1B2S ,右,6フライ, , ,ショート
2025-08-20 22:46:10,千見寺真央,,カーブ,内角低め,0,右,ボール, , ,なし
2025-08-20 22:46:14,千見寺真央,,ストレート,外角高め,1B ,右,ストライク, , ,なし
2025-08-20 22:46:21,千見寺真央,,カーブ,真ん中高め,1B1S,右,ボール, , ,なし
2025-08-20 22:46:27,千見寺真央,,ストレート,外角高め,2B1S ,右,ボール, , ,なし
2025-08-20 22:46:36,千見寺真央,,ストレート,真ん中高め,3B1S ,右,5フライ, , ,サード
2025-08-20 22:46:45,千見寺真央,,ストレート,内角真ん中,0,右,ストライク, , ,なし
2025-08-20 22:46:57,千見寺真央,,カーブ,真ん中,1S ,右,6ゴロ, , ,ショート
