日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-09 22:56:43,吉森みひろ,,カーブ,外角真ん中,0,右,ストライク, , ,なし
2025-08-09 22:56:52,吉森みひろ,,カーブ,外角低め,1S ,右,ボール, , ,なし
2025-08-09 22:57:17,吉森みひろ,,ストレート,真ん中低め,1B1S,右,8フライ, , ,左中間
2025-08-09 22:57:53,吉森みひろ,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-09 22:58:05,吉森みひろ,,カーブ,外角高め,1S ,左,ボール, , ,なし
2025-08-09 22:58:23,吉森みひろ,,カーブ,内角真ん中,1B1S,左,3ゴロ, , ,ファースト
2025-08-09 22:58:36,吉森みひろ,,ストレート,真ん中,0,右,ストライク, , ,なし
2025-08-09 22:58:53,吉森みひろ,,カーブ,外角真ん中,1S ,右,ボール, , ,なし
2025-08-09 22:59:06,吉森みひろ,,カーブ,内角真ん中,1B1S,右,ボール, , ,なし
2025-08-09 22:59:28,吉森みひろ,,ストレート,真ん中高め,2B1S ,右,ボール, , ,なし
2025-08-09 22:59:41,吉森みひろ,,ストレート,内角高め,3B1S ,右,四球, , ,なし
2025-08-09 22:59:57,吉森みひろ,,ストレート,内角低め,0,左,ボール, , ,なし
2025-08-09 23:00:26,吉森みひろ,,ストレート,外角高め,1B ,左,ボール, , ,なし
2025-08-09 23:00:47,吉森みひろ,,ストレート,真ん中低め,2B ,左,8フライ, , ,センター
2025-08-09 23:01:23,吉森みひろ,,カーブ,真ん中低め,0,右,ストライク, , ,なし
2025-08-09 23:01:33,吉森みひろ,,カーブ,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-09 23:01:47,吉森みひろ,,ストレート,外角高め,2S ,右,ボール, , ,なし
2025-08-09 23:02:05,吉森みひろ,,カーブ,外角低め,1B2S ,右,ボール, , ,なし
2025-08-09 23:02:25,吉森みひろ,,ストレート,外角真ん中,2B2S ,右,7ヒット, , ,レフト
2025-08-09 23:02:43,吉森みひろ,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-09 23:02:57,吉森みひろ,,ストレート,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-09 23:03:19,吉森みひろ,,ストレート,外角真ん中,1B1S,右,8フライ, , ,センター
2025-08-09 23:03:45,吉森みひろ,,ストレート,外角低め,0,左,ボール, , ,なし
2025-08-09 23:04:00,吉森みひろ,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-09 23:04:25,吉森みひろ,,ストレート,外角高め,2B ,左,ボール, , ,なし
2025-08-09 23:04:51,吉森みひろ,,ストレート,外角高め,3B ,左,四球, , ,なし
2025-08-09 23:05:14,吉森みひろ,,ストレート,真ん中高め,0,右,ボール, , ,なし
2025-08-09 23:05:45,吉森みひろ,,ストレート,外角低め,1B ,右,72B , , ,左中間
2025-08-11 15:29:58,吉森みひろ,,ストレート,外角真ん中,0,左,ファール, , ,なし
2025-08-11 15:30:29,吉森みひろ,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-11 15:30:55,吉森みひろ,,ストレート,真ん中高め,1B1S,左,5バント, , ,サード
2025-08-11 15:31:14,吉森みひろ,,ストレート,外角低め,0,左,ボール, , ,なし
2025-08-11 15:31:28,吉森みひろ,,ストレート,外角高め,1B ,左,ボール, , ,なし
2025-08-11 15:31:40,吉森みひろ,,ストレート,内角低め,2B ,左,ボール, , ,なし
2025-08-11 15:31:54,吉森みひろ,,ストレート,外角低め,3B ,左,ストライク, , ,なし
2025-08-11 15:32:16,吉森みひろ,,ストレート,内角低め,3B1S ,左,9ヒット, , ,ライト
2025-08-11 15:32:40,吉森みひろ,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-11 15:33:05,吉森みひろ,,ストレート,真ん中高め,1B ,左,ボール, , ,なし
2025-08-11 15:33:18,吉森みひろ,,ストレート,外角真ん中,2B ,左,ストライク, , ,なし
2025-08-11 15:33:38,吉森みひろ,,ストレート,外角真ん中,2B ,左,ボール, , ,なし
2025-08-11 15:33:54,吉森みひろ,,ストレート,外角高め,3B ,左,四球, , ,なし
2025-08-11 15:34:30,吉森みひろ,,カーブ,外角低め,0,左,ボール, , ,なし
2025-08-11 15:34:43,吉森みひろ,,ストレート,外角高め,1B ,左,ストライク, , ,なし
2025-08-11 15:35:06,吉森みひろ,,ストレート,外角真ん中,1B1S,左,7フライ, , ,レフト
2025-08-11 15:35:35,吉森みひろ,,ストレート,内角高め,0,右,ストライク, , ,なし
2025-08-11 15:36:03,吉森みひろ,,ストレート,外角低め,1S ,右,ボール, , ,なし
2025-08-11 15:36:31,吉森みひろ,,ストレート,真ん中,1B1S,右,ファール, , ,なし
2025-08-11 15:37:03,吉森みひろ,,カーブ,内角高め,1B2S ,右,ファール, , ,なし
2025-08-11 15:37:34,吉森みひろ,,ストレート,真ん中高め,1B2S ,右,5フライ, , ,サード
2025-08-11 15:40:24,吉森みひろ,,ストレート,真ん中,1B ,右,7フライ, , ,レフト
2025-08-11 15:40:56,吉森みひろ,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-11 15:41:13,吉森みひろ,,ストレート,内角低め,1B ,右,ストライク, , ,なし
2025-08-11 15:41:22,吉森みひろ,,ストレート,真ん中高め,1B1S,右,ボール, , ,なし
2025-08-11 15:41:48,吉森みひろ,,ストレート,真ん中低め,2B1S ,右,ボール, , ,なし
2025-08-11 15:41:58,吉森みひろ,,ストレート,外角低め,3B1S ,右,四球, , ,なし
2025-08-11 15:42:18,吉森みひろ,,ストレート,真ん中,0,左,ストライク, , ,なし
