日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 13:17:17,大野瑛,,ストレート,真ん中,0,右,8ヒット, , ,センター
2025-08-05 13:18:05,大野瑛,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-05 13:18:23,大野瑛,,ストレート,外角真ん中,1B ,右,ボール, , ,なし
2025-08-05 13:18:58,大野瑛,,ストレート,真ん中高め,2B ,右,ボール, , ,なし
2025-08-05 13:19:16,大野瑛,,スライダー,内角低め,3B ,右,四球, , ,なし
2025-08-05 13:19:57,大野瑛,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 13:20:27,大野瑛,,ストレート,真ん中,1S ,右,8ヒット, , ,センター
2025-08-05 13:21:13,大野瑛,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 13:21:43,大野瑛,,ストレート,真ん中高め,1S ,右,6フライ, , ,ショート
2025-08-05 13:22:30,大野瑛,,ストレート,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-05 13:22:55,大野瑛,,スライダー,外角低め,1S ,左,ボール, , ,なし
2025-08-05 13:23:35,大野瑛,,ストレート,内角高め,2S ,左,5フライ, , ,サード
2025-08-05 13:24:27,大野瑛,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 13:25:04,大野瑛,,スライダー,真ん中,1B1S,右,ストライク, , ,なし
2025-08-05 13:25:29,大野瑛,,スライダー,真ん中,1B2S ,右,ファール, , ,なし
2025-08-05 13:26:04,大野瑛,,ストレート,外角高め,1B2S ,右,5ゴロ, , ,サード
2025-08-06 10:31:34,大野瑛,,スライダー,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-06 10:31:55,大野瑛,,スライダー,外角真ん中,1S ,左,ファール, , ,なし
2025-08-06 10:32:08,大野瑛,,ストレート,真ん中,2S ,左,空三振, , ,なし
2025-08-06 10:32:19,大野瑛,,スライダー,真ん中,0 ,左,ストライク, , ,なし
2025-08-06 10:32:33,大野瑛,,ストレート,内角高め,1S ,左,ボール, , ,なし
2025-08-06 10:32:45,大野瑛,,スライダー,内角高め,1B1S,左,ファール, , ,なし
2025-08-06 10:33:02,大野瑛,,スライダー,内角高め,1B2S ,左,ボール, , ,なし
2025-08-06 10:33:15,大野瑛,,ストレート,外角真ん中,2B2S ,左,空三振, , ,なし
2025-08-06 10:33:32,大野瑛,,ストレート,外角高め,0 ,左,ボール, , ,なし
2025-08-06 10:33:54,大野瑛,,スライダー,外角真ん中,1B ,左,7ヒット, , ,レフト
2025-08-06 10:34:09,大野瑛,,スライダー,外角高め,0 ,右,ボール, , ,なし
2025-08-06 10:34:34,大野瑛,,ストレート,真ん中,1B ,右,4フライ, , ,セカンド
2025-08-06 10:34:48,大野瑛,,スライダー,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-06 10:35:10,大野瑛,,ストレート,外角高め,1S ,右,4ゴロ, , ,セカンド
2025-08-06 10:35:31,大野瑛,,カーブ,真ん中高め,0 ,右,ボール, , ,なし
2025-08-06 10:36:02,大野瑛,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-06 10:36:12,大野瑛,,スライダー,内角真ん中,1S ,右,ストライク, , ,なし
2025-08-06 10:36:40,大野瑛,,スライダー,外角低め,,右,4ゴロ, , ,セカンド
2025-08-06 10:36:57,大野瑛,,スライダー,外角真ん中,0 ,右,ボール, , ,なし
2025-08-06 10:37:11,大野瑛,,スライダー,内角真ん中,1B ,右,ボール, , ,なし
2025-08-06 10:37:24,大野瑛,,スライダー,外角高め,0 ,右,ストライク, , ,なし
2025-08-06 10:37:34,大野瑛,,スライダー,外角高め,2B1S ,右,ボール, , ,なし
2025-08-06 10:37:53,大野瑛,,スライダー,真ん中低め,3B1S ,右,ストライク, , ,なし
2025-08-06 10:38:07,大野瑛,,ストレート,外角低め,3B2S ,右,四球, , ,なし
2025-08-06 10:38:21,大野瑛,,ストレート,外角高め,0 ,左,ボール, , ,なし
2025-08-06 10:38:40,大野瑛,,スライダー,真ん中,1B ,左,9ライナー, , ,ライト
2025-08-06 10:38:54,大野瑛,,ストレート,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-06 10:39:08,大野瑛,,スライダー,外角低め,1S ,左,ファール, , ,なし
2025-08-06 10:39:30,大野瑛,,スライダー,外角低め,2S ,左,4ゴロ, , ,セカンド
2025-08-06 16:12:51,大野瑛,96.0,ストレート,内角低め,0 ,左,ストライク, , ,なし
2025-08-06 16:13:04,大野瑛,98.0,ストレート,外角低め,1S ,左,ボール, , ,なし
2025-08-06 16:13:29,大野瑛,,スライダー,外角低め,1B1S,左,4E , , ,セカンド
2025-08-06 16:14:16,大野瑛,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-06 16:14:39,大野瑛,88.0,スライダー,真ん中高め,1B ,右,ボール, , ,なし
2025-08-06 16:15:05,大野瑛,99.0,ストレート,真ん中低め,2B ,右,ボール, , ,なし
2025-08-06 16:15:34,大野瑛,94.0,ストレート,内角高め,3B ,右,四球, , ,なし
2025-08-06 16:16:31,大野瑛,,ストレート,真ん中,0 ,右,6フライ, , ,ショート
2025-08-06 16:17:19,大野瑛,97.0,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-06 16:17:41,大野瑛,87.0,スライダー,真ん中高め,1S ,右,ファール, , ,なし
2025-08-06 16:18:22,大野瑛,,ストレート,外角真ん中,2S ,右,見三振, , ,なし
2025-08-06 16:18:47,大野瑛,,スライダー,外角低め,0 ,左,ストライク, , ,なし
2025-08-06 16:19:19,大野瑛,,ストレート,"内角真ん中,外角低め",,左,ボール, , ,なし
2025-08-06 16:19:39,大野瑛,99.0,ストレート,真ん中,1B1S,左,ファール, , ,なし
2025-08-06 16:20:01,大野瑛,,スライダー,内角真ん中,1B2S ,左,ファール, , ,なし
2025-08-06 16:20:25,大野瑛,,ストレート,内角真ん中,1B2S ,左,空三振, , ,なし
2025-08-15 17:26:29,大野瑛,,スライダー,外角高め,0,左,ファール, , ,なし
2025-08-15 17:26:39,大野瑛,,スライダー,外角真ん中,1S ,左,6ライナー, , ,ショート
2025-08-15 17:26:54,大野瑛,,ストレート,内角高め,0,左,ボール, , ,なし
2025-08-15 17:27:06,大野瑛,,スライダー,内角真ん中,1B ,左,ファール, , ,なし
2025-08-15 17:27:18,大野瑛,,スライダー,外角真ん中,1B1S,左,スイング, , ,なし
2025-08-15 17:27:24,大野瑛,,ストレート,外角真ん中,1B2S ,左,ファール, , ,なし
2025-08-15 17:27:32,大野瑛,,スライダー,外角高め,1B2S ,左,ファール, , ,なし
2025-08-15 17:27:46,大野瑛,,スライダー,内角真ん中,1B2S ,左,ボール, , ,なし
2025-08-15 17:27:55,大野瑛,,スライダー,外角低め,2B2S ,左,ボール, , ,なし
2025-08-15 17:28:02,大野瑛,,スライダー,真ん中低め,3B2S ,左,ファール, , ,なし
2025-08-15 17:28:08,大野瑛,,ストレート,真ん中,3B2S ,左,ファール, , ,なし
2025-08-15 17:28:19,大野瑛,,ストレート,外角高め,3B2S ,左,ファール, , ,なし
2025-08-15 17:28:27,大野瑛,,スライダー,外角真ん中,3B2S ,左,空三振, , ,なし
2025-08-15 17:28:40,大野瑛,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-15 17:28:47,大野瑛,,ストレート,内角真ん中,1B ,左,ボール, , ,なし
2025-08-15 17:28:57,大野瑛,,スライダー,真ん中低め,2B ,左,5ゴロ, , ,サード
2025-08-15 17:29:05,大野瑛,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-15 17:29:13,大野瑛,,スライダー,外角真ん中,1B ,右,ファール, , ,なし
2025-08-15 17:29:23,大野瑛,,ストレート,外角真ん中,1B1S,右,ボール, , ,なし
2025-08-15 17:29:34,大野瑛,,スライダー,外角低め,2B1S ,右,ボール, , ,なし
2025-08-15 17:29:41,大野瑛,,ストレート,真ん中,3B1S ,右,ファール, , ,なし
2025-08-15 17:29:55,大野瑛,,ストレート,真ん中,3B2S ,右,9ヒット, , ,ライト
2025-08-15 17:30:02,大野瑛,,スライダー,真ん中,0,右,ストライク, , ,なし
2025-08-15 17:30:17,大野瑛,,ストレート,外角真ん中,1S ,右,7ヒット, , ,レフト
2025-08-15 17:30:25,大野瑛,,ストレート,外角高め,0,右,ストライク, , ,なし
2025-08-15 17:30:32,大野瑛,,ストレート,真ん中低め,1S ,右,ファール, , ,なし
2025-08-15 17:30:39,大野瑛,,ストレート,外角真ん中,2S ,右,ボール, , ,なし
2025-08-15 17:30:50,大野瑛,,スライダー,真ん中高め,1B2S ,右,スイング, , ,なし
2025-08-15 17:31:01,大野瑛,,ストレート,外角低め,1B2S ,右,ボール, , ,なし
2025-08-15 17:31:08,大野瑛,,スライダー,内角真ん中,2B2S ,右,ファール, , ,なし
2025-08-15 17:31:18,大野瑛,,ストレート,真ん中,2B2S ,右,8E , , ,センター
2025-08-15 17:31:29,大野瑛,,ストレート,内角真ん中,0,右,7フライ, , ,レフト
2025-08-15 17:31:39,大野瑛,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-15 17:31:52,大野瑛,,スライダー,真ん中低め,1B ,左,6フライ, , ,ショート
2025-08-15 17:32:02,大野瑛,,ストレート,内角真ん中,0,右,ボール, , ,なし
2025-08-15 17:32:09,大野瑛,,スライダー,内角低め,1B ,右,ファール, , ,なし
2025-08-15 17:32:17,大野瑛,,ストレート,外角低め,1B1S,右,ボール, , ,なし
2025-08-15 17:32:33,大野瑛,,スライダー,真ん中低め,2B1S ,右,9ヒット, , ,ライト
2025-08-15 17:32:41,大野瑛,,スライダー,外角真ん中,0,左,ファール, , ,なし
2025-08-15 17:32:49,大野瑛,,ストレート,外角低め,1S ,左,ストライク, , ,なし
