日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-03 22:31:27,平山楓梨,,ストレート,内角真ん中,0,右,ストライク, , ,なし
2025-08-03 22:31:47,平山楓梨,,スライダー,真ん中低め,1S ,右,5ゴロ, , ,サード
2025-08-03 22:32:06,平山楓梨,,ストレート,真ん中,0 ,右,ストライク, , ,なし
2025-08-03 22:32:26,平山楓梨,,スライダー,外角真ん中,1S ,右,ボール, , ,なし
2025-08-03 22:32:48,平山楓梨,,ストレート,内角低め,1B1S,右,8ヒット, , ,センター
2025-08-03 22:33:18,平山楓梨,,ストレート,内角高め,0 ,左,9フライ, , ,右中間
2025-08-03 22:33:40,平山楓梨,,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-03 22:33:54,平山楓梨,,ストレート,内角低め,1B ,右,ボール, , ,なし
2025-08-03 22:34:26,平山楓梨,,ストレート,真ん中,2B ,右,8ヒット, , ,センター
2025-08-03 22:34:44,平山楓梨,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-03 22:35:00,平山楓梨,,ストレート,真ん中低め,1S ,右,ボール, , ,なし
2025-08-03 22:35:19,平山楓梨,,スライダー,内角低め,1B1S,右,ストライク, , ,なし
2025-08-03 22:35:48,平山楓梨,,ストレート,外角高め,1B2S ,右,ファール, , ,なし
2025-08-03 22:36:04,平山楓梨,,スライダー,真ん中高め,1B2S ,右,ファール, , ,なし
2025-08-03 22:36:39,平山楓梨,,スライダー,真ん中,1B2S ,右,7ヒット, , ,レフト
2025-08-03 22:37:09,平山楓梨,,ストレート,真ん中高め,0 ,右,ファール,クイック, ,なし
2025-08-03 22:37:34,平山楓梨,,ストレート,真ん中,1S ,右,5ゴロ, , ,サード
2025-08-03 22:42:15,平山楓梨,,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-03 22:42:34,平山楓梨,,ストレート,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-03 22:42:51,平山楓梨,,スライダー,真ん中,1B1S,右,5ゴロ, , ,サード
2025-08-03 22:43:03,平山楓梨,,ストレート,内角高め,0 ,右,ボール, , ,なし
2025-08-03 22:43:23,平山楓梨,,スライダー,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-03 22:43:36,平山楓梨,,スライダー,内角低め,1B1S,右,ファール, , ,なし
2025-08-03 22:44:02,平山楓梨,,ストレート,外角真ん中,1B2S ,右,4ゴロ, , ,セカンド
2025-08-03 22:44:20,平山楓梨,,スライダー,真ん中高め,0 ,右,ボール, , ,なし
2025-08-03 22:44:41,平山楓梨,,ストレート,外角高め,1B ,右,ボール, , ,なし
2025-08-03 22:44:56,平山楓梨,,スライダー,内角低め,2B ,右,ボール, , ,なし
2025-08-03 22:45:10,平山楓梨,,ストレート,真ん中,3B ,右,ストライク, , ,なし
2025-08-03 22:45:23,平山楓梨,,ストレート,内角高め,3B1S ,右,ストライク, , ,なし
2025-08-03 22:45:41,平山楓梨,,ストレート,内角低め,3B2S ,右,8フライ, , ,センター
