日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 08:58:02,彦坂未望,,ストレート,真ん中,0,右,8フライ, , ,センター
2025-08-05 08:58:23,彦坂未望,,ストレート,外角真ん中,0,右,ストライク, , ,なし
2025-08-05 08:58:38,彦坂未望,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-05 08:58:53,彦坂未望,,ストレート,内角高め,1B1S,右,ストライク, , ,なし
2025-08-05 08:59:22,彦坂未望,,スライダー,外角真ん中,1B2S ,右,9ヒット, , ,ライト
2025-08-05 08:59:55,彦坂未望,,ストレート,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 09:00:32,彦坂未望,,ストレート,外角低め,1S ,右,ボール, , ,なし
2025-08-05 09:01:13,彦坂未望,,スライダー,真ん中低め,1B1S,右,ボール, , ,なし
2025-08-05 09:01:52,彦坂未望,,ストレート,外角真ん中,1B2S ,右,ストライク, , ,なし
2025-08-05 09:02:14,彦坂未望,,ストレート,外角真ん中,2B2S ,右,空三振, , ,なし
2025-08-05 09:02:43,彦坂未望,,スライダー,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 09:03:09,彦坂未望,,ストレート,外角真ん中,1S ,右,ボール, , ,なし
2025-08-05 09:03:37,彦坂未望,,ストレート,真ん中,1B1S,右,1ゴロ, , ,なし
2025-08-05 09:33:20,彦坂未望,,スライダー,外角真ん中,0 ,右,6ゴロ, , ,ショート
2025-08-05 09:33:49,彦坂未望,,カーブ,真ん中低め,0 ,右,ボール, , ,なし
2025-08-05 09:34:02,彦坂未望,,ストレート,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-05 09:34:14,彦坂未望,,ストレート,外角低め,1B1S,右,ストライク, , ,なし
2025-08-05 09:34:29,彦坂未望,,ストレート,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-05 09:34:53,彦坂未望,,スライダー,内角真ん中,2B2S ,右,9フライ, , ,ライト
2025-08-05 09:35:16,彦坂未望,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 09:35:39,彦坂未望,,ストレート,外角低め,1S ,右,ボール, , ,なし
2025-08-05 09:35:52,彦坂未望,,ストレート,外角低め,1B1S,右,1ゴロ, , ,なし
2025-08-05 09:45:44,彦坂未望,,ストレート,真ん中,0 ,,ストライク, , ,なし
2025-08-05 09:45:59,彦坂未望,,カーブ,外角真ん中,1S ,右,6ゴロ, , ,ショート
2025-08-05 09:46:28,彦坂未望,,ストレート,真ん中,0 ,左,ストライク, , ,なし
2025-08-05 09:46:42,彦坂未望,,スライダー,外角低め,1S ,左,ボール, , ,なし
2025-08-05 09:47:00,彦坂未望,,ストレート,外角高め,1B1S,左,ストライク, , ,なし
2025-08-05 09:47:19,彦坂未望,,ストレート,外角真ん中,1B2S ,左,見三振, , ,なし
2025-08-05 09:47:43,彦坂未望,,カーブ,外角低め,0 ,右,ボール, , ,なし
2025-08-05 09:48:05,彦坂未望,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-05 09:48:21,彦坂未望,,カーブ,真ん中,1B1S,右,ストライク, , ,なし
2025-08-05 09:48:33,彦坂未望,,ストレート,外角真ん中,1B2S ,右,ファール, , ,なし
2025-08-05 09:48:54,彦坂未望,,ストレート,外角真ん中,1B2S ,右,ボール, , ,なし
2025-08-05 09:49:18,彦坂未望,,ストレート,真ん中高め,2B2S ,右,ファール, , ,なし
2025-08-05 09:49:37,彦坂未望,,カーブ,内角高め,2B2S ,右,死球, , ,なし
2025-08-05 09:50:05,彦坂未望,,ストレート,外角真ん中,0 ,右,ファール, , ,なし
2025-08-05 09:50:31,彦坂未望,,ストレート,内角低め,1S ,右,9フライ, , ,ライト
2025-08-05 09:58:49,彦坂未望,,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-05 09:59:01,彦坂未望,,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-05 09:59:20,彦坂未望,,ストレート,外角真ん中,1B1S,右,ファール, , ,なし
2025-08-05 09:59:48,彦坂未望,,スライダー,外角真ん中,,右,6ゴロ, , ,ショート
2025-08-05 10:00:28,彦坂未望,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 10:00:48,彦坂未望,,カーブ,外角低め,1B1S,右,ボール, , ,なし
2025-08-05 10:01:15,彦坂未望,,ストレート,真ん中,2B1S ,右,6ゴロ, , ,ショート
2025-08-05 10:01:41,彦坂未望,,ストレート,外角低め,0 ,右,ストライク, , ,なし
2025-08-05 10:01:56,彦坂未望,,ストレート,外角高め,1S ,右,ストライク, , ,なし
2025-08-05 10:02:35,彦坂未望,,スライダー,外角低め,2S ,右,4ゴロ, , ,セカンド
2025-08-05 10:10:29,彦坂未望,,ストレート,真ん中,0 ,右,5ゴロ, , ,サード
2025-08-05 10:10:54,彦坂未望,,ストレート,外角真ん中,0 ,右,ボール, , ,なし
2025-08-05 10:11:08,彦坂未望,,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-05 10:11:40,彦坂未望,,ストレート,外角低め,1B1S,右,ボール, , ,なし
2025-08-05 10:11:53,彦坂未望,,ストレート,内角低め,2B1S ,右,ストライク, , ,なし
2025-08-05 10:12:29,彦坂未望,,ストレート,真ん中,2B2S ,右,7E , , ,レフト
2025-08-05 10:12:57,彦坂未望,,スライダー,真ん中高め,0 ,右,ファール, , ,なし
2025-08-05 10:13:54,彦坂未望,,ストレート,外角低め,1S ,右,ストライク, , ,なし
2025-08-05 10:14:16,彦坂未望,,スライダー,真ん中,2S ,右,ファール, , ,なし
2025-08-05 10:14:43,彦坂未望,,スライダー,外角低め,2S ,右,ファール, , ,なし
2025-08-05 10:15:02,彦坂未望,,スライダー,外角低め,2S ,右,ボール, , ,なし
2025-08-05 10:15:22,彦坂未望,,ストレート,真ん中高め,1B2S ,右,空三振, , ,なし
2025-08-06 12:33:24,彦坂未望,,,,,,ストライク, , ,なし
2025-08-06 12:35:55,彦坂未望,,ストレート,内角真ん中,0 ,左,5フライ, , ,サード
2025-08-06 12:36:18,彦坂未望,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-06 12:36:26,彦坂未望,,ストレート,内角真ん中,1B ,右,ストライク, , ,なし
2025-08-06 12:36:42,彦坂未望,,スライダー,外角低め,1B1S,右,ボール, , ,なし
2025-08-06 12:37:07,彦坂未望,95.0,スライダー,外角低め,2B1S ,右,ボール, , ,なし
2025-08-06 12:37:28,彦坂未望,,ストレート,外角低め,3B1S ,右,ファール, , ,なし
2025-08-06 12:38:04,彦坂未望,,ストレート,真ん中,3B2S ,右,82B , , ,左中間
2025-08-06 12:38:49,彦坂未望,95.0,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-06 12:39:13,彦坂未望,110.0,ストレート,内角高め,1B ,右,ボール, , ,なし
2025-08-06 12:40:05,彦坂未望,,ストレート,真ん中高め,2B ,右,7ヒット, , ,レフト
2025-08-06 12:41:07,彦坂未望,96.0,スライダー,真ん中低め,0 ,右,ボール, , ,なし
2025-08-06 12:41:44,彦坂未望,108.0,ストレート,外角真ん中,1B ,右,ボール, , ,なし
2025-08-06 12:42:55,彦坂未望,,スライダー,外角高め,1B ,右,スイング, , ,なし
2025-08-06 12:43:27,彦坂未望,106.0,ストレート,外角高め,2B1S ,右,ボール, , ,なし
2025-08-06 12:43:50,彦坂未望,95.0,スライダー,内角真ん中,2B2S ,右,5ゴロ, , ,サード
2025-08-06 13:02:45,彦坂未望,,ストレート,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-06 13:03:01,彦坂未望,,スライダー,内角低め,1S ,左,ボール, , ,なし
2025-08-06 13:03:18,彦坂未望,,スライダー,内角低め,1B1S,左,ボール, , ,なし
2025-08-06 13:03:46,彦坂未望,,ストレート,外角真ん中,1B2S ,左,3ゴロ, , ,ファースト
2025-08-06 13:04:06,彦坂未望,,ストレート,外角低め,0 ,右,ボール, , ,なし
2025-08-06 13:04:22,彦坂未望,,カーブ,内角高め,1B ,右,ストライク, , ,なし
2025-08-06 13:04:34,彦坂未望,,カーブ,外角低め,1B1S,右,ボール, , ,なし
2025-08-06 13:04:52,彦坂未望,,ストレート,外角低め,2B1S ,右,ボール, , ,なし
2025-08-06 13:05:10,彦坂未望,,ストレート,外角真ん中,3B1S ,右,ストライク, , ,なし
2025-08-06 13:05:34,彦坂未望,,スライダー,外角真ん中,3B2S ,右,2フライ, , ,なし
2025-08-06 13:06:03,彦坂未望,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-06 13:06:20,彦坂未望,,ストレート,外角低め,1S ,右,ボール, , ,なし
2025-08-06 13:06:42,彦坂未望,,スライダー,内角真ん中,1B1S,右,ボール, , ,なし
2025-08-06 13:06:58,彦坂未望,,スライダー,内角真ん中,2B1S ,右,ストライク, , ,なし
2025-08-06 13:07:12,彦坂未望,,スライダー,外角低め,2B2S ,右,空三振, , ,なし
2025-08-06 13:15:16,彦坂未望,,,,,,ストライク, , ,なし
2025-08-06 13:16:49,彦坂未望,,ストレート,外角高め,0 ,左,ファール, , ,なし
2025-08-06 13:17:12,彦坂未望,,ストレート,外角真ん中,1S ,左,ストライク, , ,なし
2025-08-06 13:17:28,彦坂未望,,ストレート,外角真ん中,2S ,左,ボール, , ,なし
2025-08-06 13:17:45,彦坂未望,,ストレート,外角高め,1B2S ,右,ボール, , ,なし
2025-08-06 13:18:16,彦坂未望,,スライダー,真ん中低め,2B2S ,右,8フライ, , ,センター
2025-08-06 13:18:35,彦坂未望,,ストレート,外角高め,0 ,左,ボール, , ,なし
2025-08-06 13:18:49,彦坂未望,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-06 13:19:06,彦坂未望,,ストレート,真ん中高め,2B ,左,ボール, , ,なし
2025-08-06 13:19:21,彦坂未望,,ストレート,外角真ん中,3B ,左,ストライク, , ,なし
2025-08-06 13:19:33,彦坂未望,,ストレート,真ん中低め,3B1S ,左,ストライク, , ,なし
2025-08-06 13:20:03,彦坂未望,,ストレート,外角高め,3B2S ,左,4ゴロ, , ,セカンド
2025-08-06 13:20:26,彦坂未望,,スライダー,真ん中,0 ,左,ストライク, , ,なし
2025-08-06 13:20:42,彦坂未望,,ストレート,外角真ん中,1S ,左,ボール, , ,なし
2025-08-06 13:21:06,彦坂未望,,スライダー,外角真ん中,1B1S,左,ファール, , ,なし
2025-08-06 13:21:33,彦坂未望,,ストレート,内角高め,1B2S ,左,ファール, , ,なし
2025-08-06 13:21:54,彦坂未望,,ストレート,外角高め,1B2S ,左,ボール, , ,なし
2025-08-06 13:22:21,彦坂未望,93.0,スライダー,外角低め,2B2S ,左,5フライ, , ,サード
2025-08-09 10:22:54,彦坂未望,,ストレート,真ん中,0,左,ファール, , ,なし
2025-08-09 10:23:14,彦坂未望,,ストレート,真ん中低め,1S ,左,8ヒット, , ,センター
2025-08-09 10:23:30,彦坂未望,,ストレート,真ん中低め,0,右,ボール, , ,なし
2025-08-09 10:23:56,彦坂未望,,ストレート,真ん中,1B ,右,4E , , ,セカンド
2025-08-09 10:24:06,彦坂未望,,ストレート,内角真ん中,0,右,ファール, , ,なし
2025-08-09 10:24:18,彦坂未望,,スライダー,外角低め,1B ,右,ボール, , ,なし
2025-08-09 10:24:32,彦坂未望,,ストレート,外角真ん中,1B1S,右,ストライク, , ,なし
2025-08-09 10:24:50,彦坂未望,,ストレート,外角真ん中,1B2S ,右,空三振, , ,なし
2025-08-09 10:25:07,彦坂未望,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-09 10:25:18,彦坂未望,,ストレート,真ん中,1B ,右,ストライク, , ,なし
2025-08-09 10:25:36,彦坂未望,,ストレート,内角真ん中,1B1S,右,ボール, , ,なし
2025-08-09 10:25:51,彦坂未望,,ストレート,外角高め,2B1S ,右,ボール, , ,なし
2025-08-09 10:26:23,彦坂未望,,ストレート,内角低め,3B1S ,右,3ゴロ, , ,ファースト
2025-08-09 10:26:33,彦坂未望,,ストレート,内角真ん中,0,右,スイング, , ,なし
2025-08-09 10:41:27,彦坂未望,,ストレート,内角真ん中,0,左,ストライク, , ,なし
