日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 14:01:43,松崎環奈,,ストレート,真ん中低め,0,右,ボール, , ,なし
2025-08-05 14:01:58,松崎環奈,,ストレート,真ん中,1B ,右,ストライク, , ,なし
2025-08-05 14:02:21,松崎環奈,,ストレート,真ん中,1B1S,右,7ヒット, , ,レフト
2025-08-05 14:03:20,松崎環奈,,ストレート,真ん中低め,0 ,右,1バント, , ,なし
2025-08-05 14:04:12,松崎環奈,,ストレート,内角真ん中,0 ,右,7ヒット, , ,レフト
2025-08-05 14:05:01,松崎環奈,,スライダー,外角低め,0 ,右,ストライク, , ,なし
2025-08-05 14:05:39,松崎環奈,,ストレート,真ん中低め,1B ,右,ボール, , ,なし
2025-08-05 14:05:58,松崎環奈,,スライダー,内角低め,2B ,右,ボール, , ,なし
2025-08-05 14:06:14,松崎環奈,,ストレート,外角高め,3B ,右,四球, , ,なし
2025-08-05 14:07:14,松崎環奈,,カーブ,外角真ん中,"0 ,1B ",右,ボール, , ,なし
2025-08-05 14:07:33,松崎環奈,,ストレート,真ん中低め,1B ,右,ファール, , ,なし
2025-08-05 14:08:07,松崎環奈,,ストレート,内角高め,1B1S,右,6フライ, , ,ショート
2025-08-05 14:08:33,松崎環奈,,ストレート,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 14:08:59,松崎環奈,,ストレート,内角真ん中,1S ,右,4ゴロ, , ,セカンド
2025-08-05 14:28:38,松崎環奈,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 14:29:00,松崎環奈,,カーブ,真ん中,1S ,右,4ゴロ, , ,セカンド
2025-08-05 14:29:47,松崎環奈,,ストレート,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 14:30:00,松崎環奈,,チェンジアップ,外角低め,1S ,右,ボール, , ,なし
2025-08-05 14:30:22,松崎環奈,,チェンジアップ,真ん中低め,1B2S ,右,ファール, , ,なし
2025-08-05 14:30:45,松崎環奈,,ストレート,外角高め,1B2S ,右,ボール, , ,なし
2025-08-05 14:31:09,松崎環奈,,スライダー,外角低め,2B2S ,右,6ゴロ, , ,ショート
2025-08-05 14:31:47,松崎環奈,,スライダー,真ん中,0 ,左,3ヒット, , ,ファースト
2025-08-05 14:32:33,松崎環奈,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-05 14:33:38,松崎環奈,,ストレート,内角低め,1B ,右,ボール, , ,なし
2025-08-05 14:34:05,松崎環奈,,ストレート,内角高め,2B ,右,ストライク, , ,なし
2025-08-05 14:34:34,松崎環奈,,スライダー,外角高め,2B1S ,右,ボール, , ,なし
2025-08-05 14:34:59,松崎環奈,,スライダー,外角真ん中,3B1S ,右,ストライク, , ,なし
2025-08-05 14:35:25,松崎環奈,,ストレート,内角真ん中,3B2S ,右,7フライ, , ,レフト
2025-08-05 14:42:13,松崎環奈,,スライダー,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 14:42:34,松崎環奈,,ストレート,真ん中,1S ,右,7フライ, , ,レフト
2025-08-05 14:43:01,松崎環奈,,カーブ,外角低め,0 ,右,ボール, , ,なし
2025-08-05 14:43:13,松崎環奈,,カーブ,外角低め,1B ,右,ボール, , ,なし
2025-08-05 14:43:27,松崎環奈,,ストレート,外角高め,2B ,右,ボール, , ,なし
2025-08-05 14:43:48,松崎環奈,,ストレート,真ん中,3B ,右,ストライク, , ,なし
