日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-03 23:11:56,柏崎咲和,,カーブ,真ん中低め,0,左,ボール, , ,なし
2025-08-03 23:12:16,柏崎咲和,,カーブ,真ん中低め,1B ,左,9ヒット, , ,ライト
2025-08-03 23:12:35,柏崎咲和,,ストレート,真ん中低め,0 ,左,ボール, , ,なし
2025-08-03 23:13:11,柏崎咲和,,ストレート,内角真ん中,1B ,左,ファール, , ,なし
2025-08-03 23:13:31,柏崎咲和,,ストレート,真ん中高め,1B1S,左,ボール, , ,なし
2025-08-03 23:14:00,柏崎咲和,,ストレート,真ん中,2B1S ,左,1バント, , ,なし
2025-08-03 23:14:33,柏崎咲和,,ストレート,外角真ん中,0 ,左,ストライク, , ,なし
2025-08-03 23:14:53,柏崎咲和,,カーブ,真ん中,1S ,左,9フライ, , ,ライト
2025-08-03 23:15:21,柏崎咲和,,ストレート,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-03 23:15:42,柏崎咲和,,スライダー,内角低め,1S ,右,ストライク, , ,なし
2025-08-03 23:16:02,柏崎咲和,,ストレート,外角真ん中,2S ,右,ファール, , ,なし
2025-08-03 23:16:31,柏崎咲和,,ストレート,内角低め,2S ,右,見三振, , ,なし
2025-08-03 23:23:56,柏崎咲和,,カーブ,真ん中低め,0 ,右,ストライク, , ,なし
2025-08-03 23:24:08,柏崎咲和,,ストレート,外角真ん中,1S ,右,ファール, , ,なし
2025-08-03 23:24:28,柏崎咲和,,チェンジアップ,内角低め,2S ,右,ボール, , ,なし
2025-08-03 23:24:55,柏崎咲和,,ストレート,真ん中高め,1B2S ,右,4ゴロ, , ,セカンド
2025-08-03 23:25:21,柏崎咲和,,カーブ,真ん中低め,0 ,右,ボール, , ,なし
2025-08-03 23:25:36,柏崎咲和,,カーブ,真ん中,1B ,右,ストライク, , ,なし
2025-08-03 23:25:47,柏崎咲和,,スライダー,真ん中低め,1B1S,右,ストライク, , ,なし
2025-08-03 23:26:12,柏崎咲和,,チェンジアップ,真ん中低め,1B2S ,右,7ヒット, , ,レフト
2025-08-03 23:26:32,柏崎咲和,,ストレート,真ん中高め,0 ,左,1バント, , ,なし
2025-08-03 23:26:49,柏崎咲和,,スライダー,外角低め,0 ,右,ストライク, , ,なし
2025-08-03 23:27:09,柏崎咲和,,ストレート,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-03 23:27:33,柏崎咲和,,ストレート,外角真ん中,2S ,右,ボール, , ,なし
2025-08-03 23:28:03,柏崎咲和,,スライダー,外角低め,1B2S ,右,ボール, , ,なし
2025-08-03 23:28:27,柏崎咲和,,ストレート,内角高め,2B2S ,右,ファール, , ,なし
2025-08-03 23:28:49,柏崎咲和,,ストレート,真ん中高め,2B2S ,右,ボール, , ,なし
2025-08-03 23:29:14,柏崎咲和,,ストレート,内角高め,3B2S ,右,ファール, , ,なし
2025-08-03 23:29:39,柏崎咲和,,ストレート,外角高め,3B2S ,右,四球, , ,なし
2025-08-03 23:30:00,柏崎咲和,,ストレート,内角真ん中,0 ,右,7フライ, , ,左中間
2025-08-05 21:38:01,柏崎咲和,,カーブ,真ん中,0 ,左,ストライク, , ,なし
2025-08-05 21:38:17,柏崎咲和,,スライダー,外角低め,1S ,左,ボール, , ,なし
2025-08-05 21:38:39,柏崎咲和,,ストレート,内角真ん中,1B1S,左,ファール, , ,なし
2025-08-05 21:39:12,柏崎咲和,,ストレート,内角高め,1B2S ,左,5フライ, , ,サード
2025-08-05 21:39:41,柏崎咲和,,ストレート,内角真ん中,0 ,左,9フライ, , ,ライト
