日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-13 23:36:15,沢田美羽,,カーブ,外角低め,0,左,ストライク, , ,なし
2025-08-13 23:36:26,沢田美羽,,カーブ,真ん中高め,1S ,左,ストライク, , ,なし
2025-08-13 23:36:44,沢田美羽,,ストレート,外角真ん中,2S ,左,ボール, , ,なし
2025-08-13 23:36:56,沢田美羽,,カーブ,外角高め,1B2S ,左,ボール, , ,なし
2025-08-13 23:37:07,沢田美羽,,ストレート,内角低め,2B2S ,左,ボール, , ,なし
2025-08-13 23:37:25,沢田美羽,,ストレート,真ん中高め,3B2S ,左,8ヒット, , ,センター
2025-08-13 23:38:08,沢田美羽,,ストレート,内角低め,0,左,ボール, , ,なし
2025-08-13 23:38:29,沢田美羽,,ストレート,外角高め,1B ,左,ストライク, , ,なし
2025-08-13 23:39:13,沢田美羽,,,,1B1S,左,ファール, , ,なし
2025-08-13 23:39:46,沢田美羽,,ストレート,外角真ん中,1B2S ,左,ボール, , ,なし
2025-08-13 23:40:05,沢田美羽,,ストレート,真ん中高め,2B2S ,左,ファール, , ,なし
2025-08-13 23:40:42,沢田美羽,,カーブ,内角低め,2B2S ,左,ボール, , ,なし
2025-08-13 23:41:11,沢田美羽,,ストレート,外角真ん中,3B2S ,左,6ヒット, , ,ショート
2025-08-13 23:41:30,沢田美羽,,カーブ,真ん中低め,0,左,ボール, , ,なし
2025-08-13 23:41:59,沢田美羽,,ストレート,真ん中,1B ,左,1バント, , ,なし
2025-08-13 23:42:21,沢田美羽,,ストレート,外角低め,0,右,ボール, , ,なし
2025-08-13 23:42:48,沢田美羽,,ストレート,外角低め,1B ,右,ストライク, , ,なし
2025-08-13 23:43:25,沢田美羽,,スライダー,真ん中,1B1S,右,8ヒット, , ,センター
2025-08-13 23:44:03,沢田美羽,,ストレート,外角高め,0,左,ストライク, , ,なし
2025-08-13 23:44:25,沢田美羽,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-13 23:44:50,沢田美羽,,カーブ,内角高め,1B1S,左,ボール, , ,なし
2025-08-13 23:45:08,沢田美羽,,ストレート,真ん中高め,2B1S ,左,ファール, , ,なし
2025-08-13 23:45:31,沢田美羽,,ストレート,外角高め,2B2S ,左,ファール, , ,なし
2025-08-13 23:46:14,沢田美羽,,ストレート,外角高め,2B2S ,左,8フライ, , ,センター
2025-08-13 23:46:46,沢田美羽,,カーブ,真ん中,0,右,ストライク, , ,なし
2025-08-13 23:47:10,沢田美羽,,カーブ,真ん中高め,1S ,右,ボール, , ,なし
2025-08-13 23:47:25,沢田美羽,,ストレート,真ん中低め,1B1S,右,ストライク, , ,なし
2025-08-13 23:47:54,沢田美羽,,カーブ,真ん中低め,1B2S ,右,6ライナー, , ,ショート
2025-08-13 23:48:31,沢田美羽,,スライダー,外角低め,0,右,ボール, , ,なし
2025-08-13 23:48:48,沢田美羽,,ストレート,外角低め,1B ,右,9ヒット, , ,右中間
2025-08-13 23:49:20,沢田美羽,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-13 23:50:00,沢田美羽,,ストレート,外角真ん中,1B ,右,5ヒット, , ,サード
2025-08-13 23:50:28,沢田美羽,,ストレート,外角高め,0,左,ボール, , ,なし
2025-08-13 23:50:50,沢田美羽,,ストレート,外角真ん中,1B ,左,ストライク, , ,なし
2025-08-13 23:51:11,沢田美羽,,ストレート,外角真ん中,1B1S,左,ボール, , ,なし
2025-08-13 23:51:46,沢田美羽,,ストレート,真ん中高め,2B1S ,左,1バント, , ,なし
2025-08-13 23:52:16,沢田美羽,,ストレート,外角真ん中,0,左,ボール, , ,なし
2025-08-13 23:52:30,沢田美羽,,カーブ,内角低め,1B ,左,ボール, , ,なし
2025-08-13 23:52:49,沢田美羽,,ストレート,真ん中高め,2B ,左,ボール, , ,なし
2025-08-13 23:53:10,沢田美羽,,ストレート,真ん中低め,3B ,左,ストライク, , ,なし
2025-08-13 23:53:52,沢田美羽,,ストレート,内角高め,3B1S ,左,9HR , , ,ライト
