日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-03 22:08:31,清井結月,,カーブ,真ん中,0,右,82B , , ,センター
2025-08-03 22:09:07,清井結月,,ストレート,外角低め,0,左,ボール, , ,なし
2025-08-03 22:09:35,清井結月,,ストレート,真ん中低め,1B ,左,ボール, , ,なし
2025-08-03 22:10:22,清井結月,,ストレート,内角高め,2B ,左,5バント,クイック, ,サード
2025-08-03 22:10:52,清井結月,,ストレート,真ん中低め,0 ,右,ボール, , ,なし
2025-08-03 22:11:29,清井結月,,ストレート,真ん中高め,1B ,右,ボール,クイック, ,なし
2025-08-03 22:16:44,清井結月,,ストレート,内角真ん中,2B1S ,右,ストライク,クイック, ,なし
2025-08-03 22:17:08,清井結月,,ストレート,内角低め,2B2S ,右,ファール,クイック, ,なし
2025-08-03 22:19:57,清井結月,,ストレート,真ん中,SK ,右,空三振,クイック, ,なし
2025-08-03 22:20:25,清井結月,,ストレート,外角真ん中,0 ,右,ファール, , ,なし
2025-08-03 22:21:08,清井結月,,ストレート,外角低め,1B ,右,ボール, , ,なし
2025-08-03 22:22:49,清井結月,,ストレート,真ん中低め,1B1S,右,82B , , ,センター
2025-08-03 22:27:35,清井結月,,ストレート,真ん中低め,0 ,左,72B , , ,レフト
2025-08-03 22:28:06,清井結月,,カーブ,外角低め,0 ,左,ストライク, , ,なし
2025-08-03 22:28:20,清井結月,,ストレート,外角低め,1S ,左,ストライク, , ,なし
2025-08-03 22:28:53,清井結月,,ストレート,外角真ん中,2S ,左,1ゴロ, , ,なし
2025-08-03 22:38:08,清井結月,,カーブ,真ん中低め,0 ,左,ストライク, , ,なし
2025-08-03 22:38:21,清井結月,,ストレート,内角高め,1S ,左,ボール, , ,なし
2025-08-03 22:38:38,清井結月,,ストレート,真ん中,1B1S,左,9ヒット, , ,ライト
2025-08-03 22:39:05,清井結月,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-03 22:39:26,清井結月,,ストレート,真ん中,1S ,右,1バント, , ,なし
2025-08-03 22:39:52,清井結月,,カーブ,外角低め,0 ,右,ファール, , ,なし
2025-08-03 22:40:14,清井結月,,ストレート,真ん中高め,1S ,右,ボール, , ,なし
2025-08-03 22:40:34,清井結月,,ストレート,内角高め,1B1S,右,9フライ, , ,ライト
2025-08-03 22:41:02,清井結月,,スライダー,内角低め,0 ,右,ボール, , ,なし
2025-08-03 22:41:20,清井結月,,カーブ,内角低め,1B ,右,スイング, , ,なし
2025-08-03 22:41:43,清井結月,,ストレート,外角真ん中,1B1S,右,6ゴロ, , ,ショート
