日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 15:15:44,細川美彩輝,,ストレート,真ん中高め,0,右,5ゴロ, , ,サード
2025-08-05 15:16:10,細川美彩輝,,ストレート,内角真ん中,0,右,ストライク, , ,なし
2025-08-05 15:16:35,細川美彩輝,,カーブ,外角低め,1S ,右,ボール, , ,なし
2025-08-05 15:17:03,細川美彩輝,,ストレート,内角真ん中,1B1S,右,ファール, , ,なし
2025-08-05 15:17:24,細川美彩輝,,スライダー,外角低め,1B2S ,右,ファール, , ,なし
2025-08-05 15:17:52,細川美彩輝,,チェンジアップ,外角低め,1B2S ,右,9ヒット, , ,ライト
2025-08-05 15:18:39,細川美彩輝,,チェンジアップ,真ん中低め,0 ,右,ボール, , ,なし
2025-08-05 15:19:18,細川美彩輝,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-05 15:19:43,細川美彩輝,,チェンジアップ,外角真ん中,1B1S,右,ファール, , ,なし
2025-08-05 15:20:26,細川美彩輝,,ストレート,真ん中,1B2S ,右,9ヒット, , ,ライト
2025-08-05 15:21:38,細川美彩輝,,ストレート,内角低め,0 ,右,ボール, , ,なし
2025-08-05 15:22:20,細川美彩輝,,ストレート,真ん中高め,1B ,右,6ゴロ, , ,ショート
2025-08-06 08:29:01,細川美彩輝,,,,,,ストライク, , ,なし
2025-08-06 08:46:49,細川美彩輝,,ストレート,内角高め,0 ,右,ボール, , ,なし
2025-08-06 08:47:08,細川美彩輝,,ストレート,真ん中,1S ,右,ファール, , ,なし
2025-08-06 08:47:40,細川美彩輝,,チェンジアップ,外角低め,2S ,右,6ゴロ, , ,ショート
2025-08-06 08:48:08,細川美彩輝,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-06 08:48:31,細川美彩輝,,チェンジアップ,外角真ん中,1B ,右,ファール, , ,なし
2025-08-06 08:48:49,細川美彩輝,,ストレート,内角高め,1B1S,右,ストライク, , ,なし
2025-08-06 08:49:15,細川美彩輝,,チェンジアップ,外角低め,1B2S ,右,ボール, , ,なし
2025-08-06 08:49:35,細川美彩輝,,スライダー,真ん中,1B2S ,右,5ゴロ, , ,サード
2025-08-06 08:50:02,細川美彩輝,,カーブ,外角高め,1B ,左,ボール, , ,なし
2025-08-06 08:50:17,細川美彩輝,,カーブ,真ん中低め,1S ,左,ストライク, , ,なし
2025-08-06 08:50:27,細川美彩輝,,ストレート,外角低め,2S ,左,ボール, , ,なし
2025-08-06 08:50:41,細川美彩輝,,チェンジアップ,外角低め,1B2S ,左,ボール, , ,なし
2025-08-06 08:51:09,細川美彩輝,,チェンジアップ,真ん中低め,2B2S ,左,3ゴロ, , ,ファースト
2025-08-06 09:05:09,細川美彩輝,,ストレート,外角高め,0 ,左,ストライク, , ,なし
2025-08-06 09:05:23,細川美彩輝,,スライダー,内角低め,1S ,左,ボール, , ,なし
2025-08-06 09:05:34,細川美彩輝,,ストレート,外角高め,1B1S,左,ストライク, , ,なし
2025-08-06 09:05:54,細川美彩輝,,チェンジアップ,真ん中低め,1B2S ,左,3ゴロ, , ,ファースト
2025-08-06 09:06:21,細川美彩輝,,カーブ,外角真ん中,1S ,右,ストライク, , ,なし
2025-08-06 09:06:39,細川美彩輝,78.0,カーブ,外角低め,1S ,右,ボール, , ,なし
2025-08-06 09:07:10,細川美彩輝,,ストレート,真ん中,1B2S ,右,9ヒット, , ,ライト
2025-08-06 09:07:40,細川美彩輝,,スライダー,真ん中,0 ,右,ストライク, , ,なし
