日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 22:02:26,細矢花,,ストレート,外角真ん中,0,右,ストライク, , ,なし
2025-08-05 22:02:47,細矢花,,スライダー,真ん中,1S ,右,8フライ, , ,センター
2025-08-05 22:03:04,細矢花,,スライダー,外角低め,0 ,右,ボール, , ,なし
2025-08-05 22:03:19,細矢花,,ストレート,真ん中,1B ,右,ファール, , ,なし
2025-08-05 22:03:38,細矢花,,スライダー,外角真ん中,1B1S,右,ボール, , ,なし
2025-08-05 22:03:52,細矢花,,ストレート,外角真ん中,2B1S ,右,ストライク, , ,なし
2025-08-05 22:04:08,細矢花,,スライダー,外角真ん中,2B2S ,右,8フライ, , ,センター
2025-08-05 22:04:20,細矢花,,ストレート,真ん中高め,0 ,右,ボール, , ,なし
2025-08-05 22:04:32,細矢花,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-05 22:04:47,細矢花,,スライダー,真ん中,1B1S,右,8フライ, , ,センター
2025-08-05 22:07:07,細矢花,,スライダー,内角低め,0 ,左,ボール, , ,なし
2025-08-05 22:07:17,細矢花,,ストレート,外角高め,1B ,左,ストライク, , ,なし
2025-08-05 22:07:37,細矢花,,スライダー,内角低め,1B1S,左,ボール, , ,なし
2025-08-05 22:07:54,細矢花,,ストレート,内角真ん中,2B1S ,左,3ゴロ, , ,ファースト
2025-08-05 22:08:08,細矢花,,スライダー,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 22:08:22,細矢花,,スライダー,外角低め,1S ,右,ボール, , ,なし
2025-08-05 22:08:36,細矢花,,ストレート,外角真ん中,1B1S,右,ファール, , ,なし
2025-08-05 22:09:02,細矢花,,ストレート,外角低め,1B2S ,右,ボール, , ,なし
2025-08-05 22:09:13,細矢花,,スライダー,外角低め,2B2S ,右,ファール, , ,なし
2025-08-05 22:09:28,細矢花,,ストレート,内角真ん中,2B2S ,右,ファール, , ,なし
2025-08-05 22:09:52,細矢花,,スライダー,真ん中,2B2S ,右,8フライ, , ,センター
2025-08-05 22:10:08,細矢花,,スライダー,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 22:10:21,細矢花,,ストレート,内角高め,1S ,右,ボール, , ,なし
2025-08-05 22:10:39,細矢花,,スライダー,真ん中高め,1B1S,右,8フライ, , ,センター
2025-08-05 22:24:10,細矢花,,ストレート,真ん中,0 ,右,ファール, , ,なし
2025-08-05 22:24:39,細矢花,,スライダー,真ん中,1S ,右,8フライ, , ,センター
2025-08-05 22:25:04,細矢花,,スライダー,内角低め,0 ,右,ボール, , ,なし
2025-08-05 22:25:25,細矢花,,ストレート,外角低め,1B ,右,ボール, , ,なし
