日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-09 23:06:32,花田涼,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-09 23:06:53,花田涼,,ストレート,外角高め,1S ,左,ボール, , ,なし
2025-08-09 23:07:14,花田涼,,ストレート,外角低め,1B1S,左,ボール, , ,なし
2025-08-09 23:07:42,花田涼,,スライダー,真ん中,2B1S ,左,7ヒット, , ,レフト
2025-08-09 23:08:03,花田涼,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-09 23:08:26,花田涼,,スライダー,外角低め,1B ,右,ボール, , ,なし
2025-08-09 23:08:44,花田涼,,スライダー,外角低め,2B ,右,ボール, , ,なし
2025-08-09 23:08:58,花田涼,,ストレート,真ん中,3B ,右,ストライク, , ,なし
2025-08-09 23:09:19,花田涼,,ストレート,内角真ん中,3B1S ,右,四球, , ,なし
2025-08-09 23:09:34,花田涼,,ストレート,外角真ん中,0,左,ストライク, , ,なし
2025-08-09 23:09:54,花田涼,,ストレート,外角真ん中,1S ,左,ストライク, , ,なし
2025-08-09 23:10:13,花田涼,,ストレート,外角真ん中,2S ,左,ボール, , ,なし
2025-08-09 23:10:46,花田涼,,ストレート,外角真ん中,1B2S ,左,ファール, , ,なし
2025-08-09 23:11:09,花田涼,,カーブ,外角高め,1B2S ,左,ボール, , ,なし
2025-08-09 23:11:39,花田涼,,ストレート,外角低め,2B2S ,左,ボール, , ,なし
2025-08-09 23:12:00,花田涼,,ストレート,真ん中高め,3B2S ,左,四球, , ,なし
2025-08-11 15:44:41,花田涼,,ストレート,内角高め,0,右,ボール, , ,なし
2025-08-11 15:45:02,花田涼,,ストレート,外角真ん中,1B ,右,ストライク, , ,なし
2025-08-11 15:45:31,花田涼,,ストレート,外角高め,1B ,右,スイング, , ,なし
2025-08-11 15:46:04,花田涼,,カーブ,真ん中,1B2S ,右,3フライ, , ,ファースト
