日時,投手名,球速,球種,コース,カウント,打者左右,結果,モーション,牽制,打球方向
2025-08-05 11:54:34,隅田百夏,,ストレート,内角高め,0,左,ストライク, , ,なし
2025-08-05 11:54:49,隅田百夏,,チェンジアップ,外角真ん中,1S ,左,ストライク, , ,なし
2025-08-05 11:55:04,隅田百夏,,カーブ,外角低め,2S ,左,空三振, , ,なし
2025-08-05 11:55:28,隅田百夏,,ストレート,内角高め,0 ,左,ボール, , ,なし
2025-08-05 11:55:43,隅田百夏,,スライダー,真ん中低め,1B ,左,ボール, , ,なし
2025-08-05 11:56:03,隅田百夏,,ストレート,外角高め,1B ,左,ボール, , ,なし
2025-08-05 11:56:26,隅田百夏,,チェンジアップ,外角低め,3B ,左,四球, , ,なし
2025-08-05 11:57:18,隅田百夏,,ストレート,真ん中,0 ,右,ストライク, , ,なし
2025-08-05 11:58:07,隅田百夏,,ストレート,真ん中低め,1S ,右,6フライ, , ,ショート
2025-08-05 11:58:33,隅田百夏,,ストレート,外角真ん中,0 ,右,ボール, , ,なし
2025-08-05 11:58:50,隅田百夏,,ストレート,外角高め,1B ,右,ボール, , ,なし
2025-08-05 11:59:20,隅田百夏,,スライダー,外角低め,2B ,右,3フライ, , ,ファースト
2025-08-05 12:19:26,隅田百夏,,カーブ,外角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 12:19:36,隅田百夏,,ストレート,真ん中,1S ,右,ストライク, , ,なし
2025-08-05 12:20:02,隅田百夏,,スライダー,外角低め,2S ,右,空三振, , ,なし
2025-08-05 12:20:23,隅田百夏,,ストレート,内角真ん中,0 ,右,ストライク, , ,なし
2025-08-05 12:20:43,隅田百夏,,カーブ,外角真ん中,1S ,右,8ヒット, , ,センター
2025-08-05 12:21:36,隅田百夏,,ストレート,真ん中高め,0 ,右,ファール, , ,なし
2025-08-05 12:22:12,隅田百夏,,カーブ,外角低め,1S ,右,ストライク, , ,なし
2025-08-05 12:22:36,隅田百夏,,ストレート,真ん中高め,2S ,右,ボール, , ,なし
2025-08-05 12:22:54,隅田百夏,,ストレート,外角高め,1B2S ,右,ボール, , ,なし
2025-08-05 12:23:37,隅田百夏,,スライダー,内角真ん中,2B2S ,右,ファール, , ,なし
2025-08-05 12:24:02,隅田百夏,,ストレート,真ん中,2B2S ,右,ファール, , ,なし
2025-08-05 12:24:31,隅田百夏,,ストレート,外角高め,2B2S ,右,ボール, , ,なし
2025-08-05 12:24:49,隅田百夏,,カーブ,外角低め,3B2S ,右,空三振, , ,なし
2025-08-05 12:25:22,隅田百夏,,スライダー,真ん中低め,0 ,右,ストライク, , ,なし
2025-08-05 12:25:41,隅田百夏,,スライダー,真ん中,1S ,右,ファール, , ,なし
2025-08-05 12:26:16,隅田百夏,,スライダー,外角低め,2S ,右,ボール, , ,なし
2025-08-05 12:26:35,隅田百夏,,ストレート,内角高め,1B2S ,右,ファール, , ,なし
2025-08-05 12:27:12,隅田百夏,,スライダー,内角真ん中,1B2S ,右,見三振, , ,なし
2025-08-05 12:35:34,隅田百夏,,ストレート,,0 ,右,ファール, , ,なし
2025-08-05 12:35:57,隅田百夏,,スライダー,真ん中低め,1S ,右,5ゴロ, , ,サード
2025-08-05 12:36:26,隅田百夏,,カーブ,真ん中,0 ,左,ストライク, , ,なし
2025-08-05 12:36:39,隅田百夏,,スライダー,内角低め,,左,ストライク, , ,なし
2025-08-05 12:37:07,隅田百夏,,ストレート,内角高め,2S ,左,ボール, , ,なし
2025-08-05 12:37:26,隅田百夏,,スライダー,真ん中低め,1B2S ,左,3ゴロ, , ,ファースト
2025-08-05 12:37:49,隅田百夏,,ストレート,内角高め,0 ,左,ファール, , ,なし
2025-08-05 12:38:12,隅田百夏,,スライダー,真ん中低め,1S ,左,2フライ, , ,なし
2025-08-06 09:50:23,隅田百夏,,ストレート,真ん中高め,0 ,右,6ゴロ, , ,ショート
2025-08-06 09:50:54,隅田百夏,,チェンジアップ,内角真ん中,0 ,右,ボール, , ,なし
2025-08-06 09:51:04,隅田百夏,,ストレート,外角高め,1B ,右,ボール, , ,なし
2025-08-06 09:51:21,隅田百夏,,スライダー,内角高め,2B ,右,ボール, , ,なし
2025-08-06 09:51:38,隅田百夏,,ストレート,真ん中,3B ,右,ストライク, , ,なし
2025-08-06 09:51:58,隅田百夏,,ストレート,真ん中高め,3B1S ,右,ファール, , ,なし
2025-08-06 09:52:39,隅田百夏,,スライダー,外角低め,3B2S ,右,9フライ, , ,ライト
2025-08-06 09:53:29,隅田百夏,,カーブ,真ん中低め,0 ,右,ボール, , ,なし
